query_id,bf_time,bf_memory,kd_time,kd_memory,kd_accuracy,bbf_time,bbf_memory,bbf_accuracy,file_id,dimensions,num_points
66,245275.73585510254,0,798.9406585693359,0,1.0,7881.879806518555,0,0.3315358,3,8,100000
67,248188.01879882812,0,10457.038879394531,0,1.0,6011.962890625,0,0.6191424,3,8,100000
68,248618.36433410645,0,2930.879592895508,0,1.0,10009.050369262695,0,1.0,3,8,100000
69,271064.04304504395,0,11322.021484375,0,1.0,7175.922393798828,0,1.0,3,8,100000
70,257561.20681762695,0,6819.963455200195,0,1.0,13754.844665527344,0,1.0,3,8,100000
71,284512.0429992676,0,1353.9791107177734,0,1.0,12762.069702148438,0,1.0,3,8,100000
72,245714.1876220703,0,5657.196044921875,0,1.0,9305.238723754883,0,1.0,3,8,100000
73,259246.826171875,0,3937.959671020508,0,1.0,14142.990112304688,0,1.0,3,8,100000
74,258965.25382995605,0,5436.897277832031,0,1.0,9284.019470214844,0,0.6019432,3,8,100000
75,292893.8865661621,0,8750.677108764648,0,1.0,5047.082901000977,0,0.33192953,3,8,100000
76,274363.9945983887,0,5491.2567138671875,0,1.0,11123.180389404297,0,0.68624765,3,8,100000
77,259097.09930419922,0,1490.8313751220703,0,1.0,14682.05451965332,0,1.0,3,8,100000
78,239062.07084655762,0,24326.801300048828,0,1.0,12687.206268310547,0,0.9579198,3,8,100000
79,252482.17582702637,0,14918.804168701172,0,1.0,6540.060043334961,0,0.65779877,3,8,100000
80,259206.05659484863,0,7226.9439697265625,0,1.0,13066.05339050293,0,1.0,3,8,100000
81,288823.12774658203,0,18059.01527404785,0,1.0,10287.761688232422,0,1.0,3,8,100000
82,248908.04290771484,0,1478.1951904296875,0,1.0,6551.027297973633,0,1.0,3,8,100000
83,239111.90032958984,0,1506.0901641845703,0,1.0,15255.68962097168,0,1.0,3,8,100000
